SW Version,2022.2
Date and Time Started,2026-Feb-10 12:42:42
Date and Time Ended,2026-Feb-10 12:42:43
Scan Name,Scan 1
Link Settings,
Reset RX After Applying Settings,false
Open Area,3712
Horizontal Opening,33
Horizontal Percentage,55.56
Vertical Opening,129
Vertical Percentage,54.84
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,ELF Version: 0x8008 SVN: 16040
Scan Start
2d statistical,-32,-24,-16,-8,0,8,16,24,32
120,0.502956,0.503573,0.50365,0.50365,0.503728,0.50365,0.50365,0.50365,0.50365
112,0.453397,0.423203,0.466779,0.503573,0.50365,0.50365,0.50365,0.50365,0.50365
104,0.380204,0.37739,0.392773,0.403414,0.46212,0.475525,0.497426,0.495912,0.50029
96,0.360198,0.299572,0.375663,0.305694,0.265579,0.418192,0.385952,0.305283,0.437197
88,0.25265,0.265332,0.206433,0.133699,0.124785,0.133449,0.213135,0.261239,0.27625
80,0.251826,0.251853,0.161162,0.0948575,0.00440642,0.0578003,0.12478,0.251922,0.251903
72,0.251825,0.246967,0.129659,0.00224136,3.70031e-05,0.00861715,0.0864111,0.250771,0.251903
64,0.251825,0.213441,0.12165,3.81476e-07,3.81476e-07,0.000127222,0.0642804,0.236997,0.251903
56,0.25191,0.175716,0.0666604,3.81476e-07,3.81476e-07,3.81476e-07,0.0442018,0.181023,0.251961
48,0.253472,0.143466,0.0246167,3.81476e-07,3.81476e-07,3.81476e-07,0.0228551,0.170614,0.258635
40,0.248003,0.12748,0.00102312,3.81476e-07,3.81476e-07,3.81476e-07,0.0102817,0.134483,0.270429
32,0.247171,0.126087,8.01099e-06,3.81476e-07,3.81476e-07,3.81476e-07,0.00136091,0.117963,0.290678
24,0.265141,0.125373,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,9.91836e-06,0.0963153,0.296402
16,0.273816,0.0923973,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0848431,0.297186
8,0.261861,0.0638163,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0678714,0.27687
0,0.259535,0.0417944,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0785055,0.258734
-8,0.271961,0.0375274,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0836287,0.237375
-16,0.291391,0.0611684,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0898088,0.235945
-24,0.318096,0.102744,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.000522812,0.0968201,0.250297
-32,0.30705,0.120522,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.00990616,0.110943,0.246314
-40,0.294553,0.130361,9.55596e-05,3.81476e-07,3.81476e-07,3.81476e-07,0.0205874,0.122336,0.253372
-48,0.282005,0.158297,0.0104845,3.81476e-07,3.81476e-07,3.81476e-07,0.0318393,0.143225,0.251825
-56,0.263254,0.223944,0.070359,3.81476e-07,3.81476e-07,0.000186732,0.0620129,0.156985,0.251806
-64,0.251987,0.250516,0.121056,3.81476e-07,3.81476e-07,0.00426394,0.0898332,0.22155,0.251922
-72,0.251826,0.251825,0.148269,0.0325336,0.000856603,0.0191178,0.103242,0.247764,0.251941
-80,0.253475,0.260139,0.248327,0.0747534,0.08282,0.0540455,0.19114,0.25169,0.253471
-88,0.276471,0.276761,0.31132,0.262028,0.306369,0.261592,0.261499,0.34052,0.346392
-96,0.359373,0.346213,0.362452,0.382415,0.443842,0.434522,0.439653,0.471469,0.490244
-104,0.366847,0.368902,0.408518,0.489409,0.491494,0.495052,0.495341,0.491915,0.495776
-112,0.434639,0.48934,0.495704,0.495776,0.495776,0.495776,0.495849,0.495849,0.495776
-120,0.495776,0.495849,0.495776,0.495776,0.495776,0.495776,0.495776,0.495776,0.495776
Scan End
