DUNE WIB Quality Control System - Comprehensive Test Results

WIB Information
Parameter,Value,Status,Timestamp
WIB_ID,WIB_001,,
Tester,,,
Test_Site,,,
Start_Date,2025-12-19 13:19:25,,
Comment,,,

=== Test00: Reception Checkout ===
Item,Parameter,Value,Unit,Status,Min,Max,Timestamp
T00_01,Component_Inspection,,,,,,
T00_02,LTpowerPlay_Config,,,,,,
T00_03,Power_Ch1_Current,,A,,0.5,2.0,
T00_04,Power_Ch2_Current,,A,,0.5,2.0,
T00_05,Front_Panel_Install,,,,,,
T00_06,Test_Duration,,s,,,,

=== Test01: Serial/TCP/IP Communication ===
Item,Parameter,Value,Unit,Status,Min,Max,Timestamp
T01_01,UART_Test,,,,,,
T01_02,WIB_IP_Address,,,,,,
T01_03,TCP_Connection,,,,,,
T01_04,TCP_FW_Version,,,,,,
T01_05,UDP_Connection,,,,,,
T01_06,UDP_FW_Version,,,,,,
T01_07,ICMP_Ping_Test,,,,,,
T01_08,WIB_Power_Ch1_V,,V,,11.0,13.0,
T01_09,WIB_Power_Ch1_I,,A,,0.5,3.0,
T01_10,WIB_Power_Ch2_V,,V,,11.0,13.0,
T01_11,WIB_Power_Ch2_I,,A,,0.5,3.0,
T01_12,Test_Duration,,s,,,,

=== Test02: Calibration Path Control ===
Item,Parameter,Value,Unit,Status,Min,Max,Timestamp
T02_01,WIB_Power_Ch1_V_Start,,V,,11.0,13.0,
T02_02,WIB_Power_Ch1_I_Start,,A,,0.5,3.0,
T02_03,WIB_Power_Ch2_V_Start,,V,,11.0,13.0,
T02_04,WIB_Power_Ch2_I_Start,,A,,0.5,3.0,
T02_05,DAC_0_Config,,,,,,
T02_06,DAC_1_Config,,,,,,
T02_07,DAC_2_Config,,,,,,
T02_08,DAC_3_Config,,,,,,
T02_09,ADC_0_Readback,,mV,,,,
T02_10,ADC_1_Readback,,mV,,,,
T02_11,ADC_2_Readback,,mV,,,,
T02_12,ADC_3_Readback,,mV,,,,
T02_13,WIB_Power_Ch1_V_End,,V,,11.0,13.0,
T02_14,WIB_Power_Ch1_I_End,,A,,0.5,3.0,
T02_15,WIB_Power_Ch2_V_End,,V,,11.0,13.0,
T02_16,WIB_Power_Ch2_I_End,,A,,0.5,3.0,
T02_17,Total_Power,,W,,,,
T02_18,Test_Duration,,s,,,,

=== Test03_1V: FEMB Power Rail Test (1V) ===
Item,Parameter,Value,Unit,Status,Min,Max,Timestamp
T03_1V_00,WIB_Power_Ch1_V,12.05,V,PASS,11.0,13.0,2025-12-19 13:19:25
T03_1V_01,WIB_Power_Ch1_I,2.15,A,PASS,0.5,3.0,2025-12-19 13:19:25
T03_1V_02,WIB_Power_Ch2_V,12.03,V,PASS,11.0,13.0,2025-12-19 13:19:25
T03_1V_03,WIB_Power_Ch2_I,2.12,A,PASS,0.5,3.0,2025-12-19 13:19:25
T03_1V_0FE_V,Slot0_FE_Voltage,1.02,V,PASS,0.85,1.15,2025-12-19 13:19:25
T03_1V_0FE_I,Slot0_FE_Current,0.85,A,PASS,,,2025-12-19 13:19:25
T03_1V_0CD_V,Slot0_CD_Voltage,1.01,V,PASS,0.85,1.15,2025-12-19 13:19:25
T03_1V_0CD_I,Slot0_CD_Current,0.32,A,PASS,,,2025-12-19 13:19:25
T03_1V_0ADC_V,Slot0_ADC_Voltage,1.03,V,PASS,0.85,1.15,2025-12-19 13:19:25
T03_1V_0ADC_I,Slot0_ADC_Current,1.25,A,PASS,,,2025-12-19 13:19:25
T03_1V_0IDLE_V,Slot0_IDLE_Voltage,1.0,V,PASS,0.85,1.15,2025-12-19 13:19:25
T03_1V_0IDLE_I,Slot0_IDLE_Current,0.15,A,PASS,,,2025-12-19 13:19:25
T03_1V_0BIAS_V,Slot0_BIAS_Voltage,1.01,V,PASS,0.85,1.15,2025-12-19 13:19:25
T03_1V_0BIAS_I,Slot0_BIAS_Current,0.08,A,PASS,,,2025-12-19 13:19:25
T03_1V_1FE_V,Slot1_FE_Voltage,1.02,V,PASS,0.85,1.15,2025-12-19 13:19:25
