SW Version,2022.2
Date and Time Started,2026-Jan-22 11:59:05
Date and Time Ended,2026-Jan-22 11:59:06
Scan Name,Scan 0
Link Settings,
Reset RX After Applying Settings,false
Open Area,3584
Horizontal Opening,33
Horizontal Percentage,55.56
Vertical Opening,129
Vertical Percentage,54.84
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,ELF Version: 0x8008 SVN: 16040
Scan Start
2d statistical,-32,-24,-16,-8,0,8,16,24,32
120,0.493545,0.488859,0.50365,0.503728,0.503728,0.50365,0.50365,0.50365,0.50365
112,0.387655,0.425898,0.477372,0.499464,0.503496,0.50365,0.503573,0.500894,0.503573
104,0.355664,0.357323,0.377102,0.384638,0.457437,0.424729,0.491431,0.4643,0.4711
96,0.318383,0.311002,0.307403,0.267776,0.243514,0.25865,0.258692,0.354787,0.397502
88,0.258661,0.253937,0.185048,0.131328,0.10292,0.0937222,0.195795,0.250116,0.276181
80,0.251825,0.25021,0.129742,0.0530701,0.00761349,0.0547302,0.130532,0.249064,0.251941
72,0.25198,0.19131,0.125971,0.045584,3.24254e-06,0.0285931,0.103379,0.175972,0.251922
64,0.255319,0.159251,0.068517,0.0011059,3.81476e-07,0.00905985,0.0811925,0.175991,0.251903
56,0.266862,0.136168,0.0253683,3.81476e-07,3.81476e-07,3.71939e-05,0.0414647,0.14213,0.249658
48,0.273868,0.128339,0.0062541,3.81476e-07,3.81476e-07,3.81476e-07,0.0314373,0.116273,0.252408
40,0.27306,0.116131,0.000138666,3.81476e-07,3.81476e-07,3.81476e-07,0.0197978,0.0965652,0.261175
32,0.287064,0.0927209,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.00189498,0.0752502,0.27112
24,0.275255,0.0469989,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.24254e-06,0.0342281,0.273792
16,0.271189,0.0211624,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0331281,0.259595
8,0.271223,0.0123922,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.037254,0.25721
0,0.281947,0.00288109,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0357532,0.25066
-8,0.291566,0.00103037,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,1.73571e-05,0.0424104,0.248615
-16,0.324427,0.00752747,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.00194343,0.0634883,0.224334
-24,0.334181,0.0232343,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0135571,0.078844,0.226216
-32,0.325675,0.0440496,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0343549,0.0831074,0.241986
-40,0.323441,0.079164,3.81476e-07,3.81476e-07,3.81476e-07,4.57771e-06,0.0499781,0.106896,0.234515
-48,0.29541,0.111348,0.00051709,3.81476e-07,3.81476e-07,0.00168746,0.066655,0.122208,0.235659
-56,0.271367,0.134381,0.0123404,3.81476e-07,3.81476e-07,0.0160863,0.0790113,0.136679,0.251903
-64,0.262468,0.179528,0.0417763,0.000223926,3.81476e-07,0.0414193,0.0971132,0.152367,0.249584
-72,0.25327,0.251825,0.0998524,0.0099794,0.000363355,0.0601638,0.115508,0.203182,0.251903
-80,0.251832,0.251825,0.198495,0.0351092,0.0184788,0.0765046,0.154739,0.215256,0.252525
-88,0.251898,0.252143,0.223589,0.131639,0.0695269,0.202847,0.184381,0.234844,0.266003
-96,0.283431,0.307443,0.319437,0.356639,0.347854,0.244607,0.437613,0.4431,0.435287
-104,0.36912,0.361181,0.384853,0.388288,0.46649,0.48218,0.467157,0.465293,0.494619
-112,0.405634,0.450032,0.45601,0.459425,0.493402,0.495414,0.495341,0.495341,0.495776
-120,0.47731,0.495414,0.495776,0.495776,0.495849,0.495776,0.495849,0.495849,0.495776
Scan End
