SW Version,2022.2
Date and Time Started,2025-Dec-15 17:03:45
Date and Time Ended,2025-Dec-15 17:03:46
Scan Name,Scan 1
Link Settings,
Reset RX After Applying Settings,false
Open Area,3520
Horizontal Opening,33
Horizontal Percentage,55.56
Vertical Opening,129
Vertical Percentage,54.84
Dwell,BER
Dwell BER,1e-5
Dwell Time,0
Horizontal Increment,8
Horizontal Range,-0.500 UI to 0.500 UI
Vertical Increment,8
Vertical Range,100%
Misc Info,ELF Version: 0x8008 SVN: 16040
Scan Start
2d statistical,-32,-24,-16,-8,0,8,16,24,32
120,0.473827,0.500818,0.50365,0.50365,0.503728,0.50365,0.50365,0.50365,0.50365
112,0.446268,0.489685,0.498049,0.438471,0.503496,0.503341,0.502955,0.50365,0.50365
104,0.362183,0.370034,0.377699,0.35276,0.404289,0.412562,0.470392,0.400338,0.429473
96,0.300488,0.291497,0.319664,0.280613,0.179651,0.281388,0.279596,0.362144,0.41935
88,0.253216,0.251012,0.215509,0.12799,0.0590851,0.0985898,0.218101,0.266033,0.271043
80,0.251825,0.201771,0.129848,0.028758,0.000116541,0.053996,0.128013,0.249438,0.257189
72,0.251825,0.222605,0.115168,0.00648375,3.81476e-07,0.0262899,0.0852166,0.225314,0.251903
64,0.251827,0.149925,0.0484958,2.86107e-06,3.81476e-07,0.00148356,0.0666062,0.16352,0.251903
56,0.243878,0.152124,0.0226209,3.81476e-07,3.81476e-07,5.72213e-07,0.0381872,0.129594,0.256833
48,0.220686,0.115119,0.000806249,3.81476e-07,3.81476e-07,3.81476e-07,0.0174145,0.110631,0.280778
40,0.217642,0.109313,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.00219272,0.0936014,0.293064
32,0.234773,0.0617418,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,9.91836e-06,0.0609834,0.300991
24,0.254064,0.029829,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0378521,0.281513
16,0.259693,0.00829099,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0234157,0.267191
8,0.265799,0.000617418,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0165007,0.266738
0,0.263595,2.09812e-06,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.029631,0.249124
-8,0.263765,2.28885e-05,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0485546,0.257767
-16,0.275614,0.00157111,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.000244144,0.0609063,0.244309
-24,0.280167,0.0150613,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.00484169,0.0709378,0.243535
-32,0.289631,0.0360528,3.81476e-07,3.81476e-07,3.81476e-07,3.81476e-07,0.0170566,0.0838388,0.246137
-40,0.282586,0.0777958,7.62951e-07,3.81476e-07,3.81476e-07,3.62402e-06,0.0382746,0.101214,0.251324
-48,0.262244,0.13583,0.00159495,3.81476e-07,3.81476e-07,0.00148795,0.0603944,0.115031,0.251517
-56,0.252694,0.13601,0.0221183,3.81476e-07,3.81476e-07,0.0109037,0.0781744,0.136067,0.251903
-64,0.251832,0.236077,0.0455739,0.00219749,5.5314e-06,0.0275026,0.0939141,0.189102,0.251903
-72,0.251825,0.215349,0.133664,0.0329251,0.00788415,0.0662685,0.116859,0.211346,0.251903
-80,0.25557,0.255555,0.180211,0.203663,0.0568955,0.115793,0.186022,0.244197,0.293227
-88,0.319808,0.311637,0.291687,0.242227,0.201786,0.253873,0.317714,0.318757,0.406849
-96,0.353072,0.383591,0.375417,0.381137,0.462717,0.39414,0.483693,0.494975,0.457354
-104,0.469868,0.420869,0.495776,0.495849,0.49539,0.495849,0.492975,0.492338,0.495854
-112,0.488722,0.492763,0.495849,0.495776,0.495776,0.495849,0.495849,0.495849,0.495849
-120,0.495776,0.495776,0.495776,0.495776,0.495849,0.495849,0.495849,0.495849,0.495849
Scan End
